hometown_city,hometown_state_clean,total
Wesley Chapel,FL,2
West Bloomfield,MI,7
West Branch,IA,1
West Chester,OH,4
West Chester,PA,2
West Chicago,IL,1
West Columbia,SC,1
West Columbia,TX,2
West Covina,CA,2
West Dallas,TX,1
West Deptford,NJ,1
West Des Moines,IA,9
West Islip,NY,1
West Jordan,UT,4
West Lafayette,IN,4
West Lafayette,OH,1
West Linn,OR,4
West Long Branch,NJ,1
West Mifflin,PA,1
West Monroe,LA,5
West Orange,NJ,3
West Palm Beach,FL,10
West Park,FL,1
West Pittston,PA,2
West Point,VA,1
West Roxbury,MA,1
West Seattle,WA,1
West Valley City,UT,2
West Warwick,RI,1
Westboro,MA,1
Westbury,NY,1
Westerville,OH,1
Westfield,IN,4
Westfield,NJ,2
Westlake,CA,1
Westlake,OH,1
Westlake Village,CA,7
Weston,FL,4
Westover,WV,1
Westport,CT,4
Wetumpka,AL,2
Wexford,PA,3
Wheatland,CA,1
Wheaton,IL,5
White,GA,1
White Castle,LA,1
White House,TN,1
Whitefish Bay,WI,2
Whitehouse,TX,1
Whiteville,NC,1
Whittier,CA,2
Wichita,KS,10
Wichita Falls,TX,5
Wilkesboro,NC,1
Williamsburg,IA,1
Williamson,GA,1
Williamsport,PA,1
Williamston,MI,1
Williamstown,NJ,2
Williamsville,NY,1
Willingboro,NJ,4
Wilmette,IL,2
Wilmington,DE,2
Wilmington,NC,2
Wilmington,OH,1
Wiloughby,OH,1
Wilton,CT,1
Winchester,KY,1
Winchester,TN,1
Windermere,FL,2
Windsor,CT,2
Winnetka,IL,2
Winona,MN,1
Winona,MS,1
Winston-Salem,NC,11
Winter Garden,FL,7
Winter Haven,FL,2
Winter Park,FL,6
Winterset,IA,1
Wixom,MI,1
Woodbridge,VA,7
Woodburn,OR,1
Woodbury,MN,2
Woodbury,NJ,1
Woodinville,WA,4
Woodland Hills,CA,1
Woodmere,LA,1
Woodruff,SC,2
Woods Cross,UT,2
Woodside,CA,2
Woodstock,GA,6
Woodville,TX,1
Worcester,MA,3
Wylie,TX,2
Wymore,NE,1
Wyoming,MI,1
Wyoming,OH,1
Xenia,OH,1
Yazoo City,MS,1
Yelm,WA,2
Yorba Linda,CA,3
York,NE,1
York,PA,4
York,SC,1
Yorktown Heights,NY,1
Yorkville,IL,1
Youngstown,OH,7
Youngsville,LA,1
Ypsilanti,MI,4
Yuba City,CA,2
Yukon,OK,1
Yulee,FL,1
Zachary,LA,4
Zanesville,OH,1
Zelienople,PA,2
Zephyrhills,FL,2
Zionsville,IN,3
